yb_wl_corr,er_no_synchr,er_wl_corr,er_synch,yb_synch,yb_no_synch,yb_wl,er_wl,,
961.058485590507,-200.621059328283,1399.7776152158,-200.824382798734,-197.406524520973,-197.153601841972,970.050857035223,1426.48134601317,,
961.123418277688,-200.444279556075,1399.92413688662,-200.820046758772,-197.299014312854,-196.873900690226,970.107320241468,1426.60344740552,,
961.188358524311,-200.316511621377,1400.070683643,-200.827500440155,-197.341452840008,-197.051844128654,970.16379002114,1426.7255697025,,
961.253306331695,-200.437683179523,1400.21725549135,-200.818225946762,-197.390708883555,-197.103190274288,970.220266375387,1426.84771290946,,
961.318261701161,-200.619663159507,1400.36385243815,-200.828247210451,-197.308339455165,-196.908994440298,970.276749305357,1426.96987703179,,
961.383224634029,-200.564756433508,1400.51047448982,-200.819140651419,-197.335401904165,-197.026348959312,970.333238812199,1427.09206207485,,
961.448195131622,-200.364416951946,1400.65712165281,-200.826276310507,-197.382061328736,-197.100573839571,970.389734897062,1427.21426804401,,
961.513173195258,-200.340188668677,1400.8037939336,-200.822365390048,-197.327963915281,-196.941712867431,970.446237561094,1427.33649494467,,
961.578158826261,-200.530224356994,1400.95049133862,-200.8227330296,-197.302512802654,-196.96190571336,970.502746805444,1427.45874278218,,
961.643152025953,-200.633235790457,1401.09721387433,-200.826213093368,-197.416010728397,-197.176828300019,970.559262631263,1427.58101156194,,
961.708152795656,-200.477882293869,1401.2439615472,-200.819621023851,-197.291850048855,-196.866717441043,970.615785039701,1427.70330128933,,
961.773161136693,-200.320365823468,1401.39073436366,-200.828655148116,-197.338593167057,-197.039121189075,970.672314031907,1427.82561196972,,
961.838177050387,-200.408315680572,1401.53753233021,-200.818704812953,-197.368762828214,-197.07742023253,970.728849609032,1427.94794360851,,
961.90320053806,-200.606131325677,1401.68435545328,-200.828429665966,-197.34112075406,-196.978376840193,970.785391772226,1428.07029621107,,
961.968231601037,-200.592718394,1401.83120373937,-200.820554995602,-197.290144286295,-196.920086182485,970.841940522641,1428.19266978281,,
962.033270240642,-200.390326116073,1401.97807719493,-200.825729563265,-197.400481612339,-197.173675833417,970.898495861428,1428.31506432911,,
962.098316458198,-200.326228385328,1402.12497582644,-200.824246297039,-197.322974828923,-196.917606820586,970.955057789737,1428.43747985537,,
962.163370255029,-200.500247696067,1402.27189964036,-200.82209065038,-197.296265400559,-196.955675504618,971.011626308721,1428.55991636697,,
962.228431632462,-200.638874750414,1402.4188486432,-200.827861175345,-197.393008303154,-197.135942214256,971.068201419532,1428.68237386933,,
962.29350059182,-200.512664894977,1402.56582284138,-200.819549901493,-197.322811181919,-196.948677312302,971.124783123322,1428.80485236782,,
962.358577134431,-200.330787377231,1402.71282224143,-200.829526042586,-197.308236017343,-196.946927899678,971.181371421244,1428.92735186786,,
962.423661261618,-200.380889300317,1402.85984684982,-200.819545969364,-197.356403473275,-197.091143198966,971.23796631445,1429.04987237485,,
962.488752974708,-200.58637903353,1403.00689667303,-200.828421519997,-197.369812006946,-197.033861682589,971.294567804094,1429.17241389419,,
962.553852275027,-200.616608876758,1403.15397171755,-200.822156257943,-197.260755758062,-196.848808760175,971.351175891328,1429.29497643129,,
962.618959163903,-200.420946602991,1403.30107198987,-200.825217525501,-197.390753595377,-197.175001331578,971.407790577307,1429.41755999156,,
962.684073642662,-200.318108755563,1403.44819749647,-200.826065745033,-197.337629672517,-196.9609534699,971.464411863184,1429.54016458039,,
962.749195712631,-200.468222022598,1403.59534824386,-200.82170113931,-197.295415304398,-196.933266236583,971.521039750114,1429.66279020322,,
962.814325375138,-200.637356941749,1403.74252423853,-200.829273017024,-197.345345283668,-197.053072317693,971.57767423925,1429.78543686544,,
962.87946263151,-200.547373234116,1403.88972548698,-200.819813452746,-197.371691068216,-197.079080082339,971.634315331748,1429.90810457248,,
962.944607483078,-200.347924503862,1404.0369519957,-200.830155912457,-197.282392263558,-196.857452912641,971.690963028763,1430.03079332975,,
963.009759931167,-200.356657786554,1404.1842037712,-200.820623768861,-197.331677464273,-197.068048999467,971.747617331449,1430.15350314267,,
963.074919977108,-200.560901784142,1404.33148081999,-200.828328707633,-197.389412089275,-197.09328551605,971.804278240963,1430.27623401666,,
963.140087622228,-200.635118926828,1404.47878314858,-200.823779668498,-197.268559330718,-196.847123235486,971.860945758459,1430.39898595715,,
963.205262867859,-200.455513709131,1404.62611076347,-200.824833884263,-197.340698296537,-197.068363244893,971.917619885095,1430.52175896956,,
963.27044571533,-200.316654273231,1404.77346367117,-200.827705050308,-197.361359473935,-197.057011490175,971.974300622026,1430.64455305931,,
963.335636165971,-200.435412300193,1404.9208418782,-200.821576905728,-197.314988424839,-196.940802950648,972.030987970409,1430.76736823183,,
963.40083422111,-200.628241008309,1405.06824539106,-200.830431028673,-197.284037117534,-196.926811231223,972.0876819314,1430.89020449255,,
963.466039882082,-200.580546109147,1405.2156742163,-200.820322337694,-197.398589194337,-197.183052001003,972.144382506158,1431.01306184692,,
963.531253150215,-200.371755715415,1405.36312836042,-200.83062275449,-197.298009456155,-196.867281921044,972.201089695839,1431.13594030035,,
963.596474026841,-200.336940375239,1405.51060782994,-200.821786711594,-197.291324234841,-196.971127333753,972.257803501601,1431.25883985828,,
963.661702513291,-200.530464076067,1405.65811263139,-200.828264745633,-197.376550010535,-197.113285565291,972.314523924601,1431.38176052616,,
963.726938610899,-200.646937003398,1405.8056427713,-200.825287341742,-197.321587967235,-196.952930356096,972.371250965999,1431.50470230942,,
963.792182320995,-200.492984055176,1405.9531982562,-200.824650866755,-197.283577277223,-196.91146109451,972.427984626952,1431.6276652135,,
963.857433644913,-200.322616179682,1406.10077909262,-200.829108105315,-197.347416224224,-197.087447394674,972.48472490862,1431.75064924385,,
963.922692583984,-200.403279827451,1406.24838528709,-200.821700782473,-197.365409346139,-197.04478332683,972.54147181216,1431.87365440591,,
963.987959139543,-200.611334913479,1406.39601684616,-200.831383247921,-197.247269062464,-196.815539213878,972.598225338733,1431.99668070513,,
964.053233312924,-200.610503949806,1406.54367377634,-200.820976465353,-197.36193086281,-197.145316011841,972.654985489499,1432.11972814695,,
964.118515105459,-200.402017529004,1406.69135608421,-200.83104448517,-197.346421833755,-196.995594183046,972.711752265616,1432.24279673684,,
964.183804518482,-200.323110437921,1406.83906377628,-200.822906084923,-197.28413781485,-196.905580832981,972.768525668245,1432.36588648023,,
964.249101553329,-200.496147592106,1406.98679685911,-200.828348423487,-197.30769390479,-196.995769982595,972.825305698547,1432.48899738259,,
964.314406211333,-200.650819177943,1407.13455533923,-200.826591271116,-197.378020369645,-197.121524502182,972.882092357681,1432.61212944936,,
964.379718493831,-200.531968472244,1407.28233922322,-200.824724527182,-197.287446681888,-196.867158328839,972.938885646809,1432.73528268602,,
964.445038402156,-200.336614023706,1407.43014851761,-200.830273056962,-197.280353173479,-196.956099601922,972.995685567092,1432.85845709801,,
964.510365937646,-200.373493891049,1407.57798322897,-200.822041669509,-197.391226462371,-197.160620555834,973.052492119692,1432.98165269081,,
964.575701101636,-200.586785174768,1407.72584336384,-200.832212272145,-197.287076344153,-196.864445481228,973.10930530577,1433.10486946987,,
964.641043895462,-200.635366014553,1407.87372892879,-200.821681576149,-197.288818641036,-196.964480249637,973.166125126488,1433.22810744066,,
964.706394320461,-200.438108815187,1408.02163993038,-200.831543528455,-197.343538224947,-197.065483990769,973.222951583009,1433.35136660865,,
964.771752377968,-200.316561810239,1408.16957637516,-200.823879319189,-197.349685565386,-197.026131170734,973.279784676494,1433.4746469793,,
964.837118069324,-200.459398399531,1408.31753826971,-200.82868170767,-197.244615597855,-196.818006758134,973.336624408108,1433.59794855809,,
964.902491395864,-200.645696422311,1408.4655256206,-200.827634641841,-197.3458936751,-197.123023294242,973.393470779012,1433.7212713505,,
964.967872358926,-200.570671528598,1408.61353843439,-200.825093051007,-197.357017388371,-197.027597320754,973.45032379037,1433.84461536199,,
965.033260959848,-200.359044717279,1408.76157671766,-200.83121465377,-197.25274244025,-196.835851302132,973.507183443346,1433.96798059805,,
965.09865719997,-200.347927274308,1408.90964047697,-200.822566891649,-197.320921455326,-197.056067304483,973.564049739104,1434.09136706414,,
