0,1,0,100
1E-5,0.99793999075217,0.01,99.793999075217
2E-5,0.994487274946389,0.02,99.4487274946389
3E-5,0.990262982204344,0.03,99.0262982204344
4E-5,0.985316239038259,0.04,98.5316239038259
5E-5,0.980180162478429,0.05,98.0180162478429
6E-5,0.97402086908713,0.06,97.402086908713
7E-5,0.967640667524561,0.07,96.7640667524561
8E-5,0.961561715286225,0.08,96.1561715286225
9E-5,0.955409977218717,0.09,95.5409977218717
1E-4,0.948684977115911,0.1,94.8684977115911
1.1E-4,0.941108560772733,0.11,94.1108560772733
1.2E-4,0.932638670176745,0.12,93.2638670176745
1.3E-4,0.923357390651411,0.13,92.3357390651411
1.4E-4,0.913400772725209,0.14,91.3400772725209
1.5E-4,0.902927623109959,0.15,90.2927623109959
1.6E-4,0.892097216452693,0.16,89.2097216452693
1.7E-4,0.881051042152817,0.17,88.1051042152817
1.8E-4,0.8699027980697,0.18,86.99027980697
1.9E-4,0.858737132961166,0.19,85.8737132961166
2E-4,0.84761370100607,0.2,84.761370100607
2.1E-4,0.836573012608164,0.21,83.6573012608164
2.2E-4,0.82564145761028,0.22,82.564145761028
2.3E-4,0.814833054007523,0.23,81.4833054007523
2.4E-4,0.804159463806257,0.24,80.4159463806257
2.5E-4,0.793628761711752,0.25,79.3628761711752
2.6E-4,0.783245171735642,0.26,78.3245171735642
2.7E-4,0.773012247975891,0.27,77.3012247975891
2.8E-4,0.762931493904864,0.28,76.2931493904864
2.9E-4,0.753010114379359,0.29,75.3010114379359
3E-4,0.743244608484385,0.3,74.3244608484385
3.1E-4,0.733643286215899,0.31,73.3643286215899
3.2E-4,0.724203943057902,0.32,72.4203943057902
3.3E-4,0.714923960437951,0.33,71.4923960437951
3.4E-4,0.705803934703602,0.34,70.5803934703602
3.5E-4,0.696846809377895,0.35,69.6846809377895
3.6E-4,0.688050057527066,0.36,68.8050057527066
3.7E-4,0.679408381969828,0.37,67.9408381969828
3.8E-4,0.670919327007553,0.38,67.0919327007553
3.9E-4,0.662580743698246,0.39,66.2580743698246
4E-4,0.65438945951237,0.4,65.438945951237
4.1E-4,0.646347505441574,0.41,64.6347505441574
4.2E-4,0.638452265695674,0.42,63.8452265695674
4.3E-4,0.630698492280406,0.43,63.0698492280406
4.4E-4,0.623083489817071,0.44,62.3083489817071
4.5E-4,0.615603240167334,0.45,61.5603240167334
4.6E-4,0.60825832943889,0.46,60.825832943889
4.7E-4,0.601043115680598,0.47,60.1043115680598
4.8E-4,0.593955078802783,0.48,59.3955078802783
4.9E-4,0.586995414048537,0.49,58.6995414048537
5E-4,0.580160170308398,0.5,58.0160170308398
5.1E-4,0.573443791343651,0.51,57.3443791343651
5.2E-4,0.566843821700544,0.52,56.6843821700544
5.3E-4,0.560357850655239,0.53,56.0357850655239
5.4E-4,0.553980995556428,0.54,55.3980995556428
5.5E-4,0.547708462926565,0.55,54.7708462926565
5.6E-4,0.541539812875782,0.56,54.1539812875782
5.7E-4,0.535475497494299,0.57,53.5475497494299
5.8E-4,0.529520425897688,0.58,52.9520425897688
5.9E-4,0.523669677417556,0.59,52.3669677417556
6E-4,0.517919716596705,0.6,51.7919716596705
6.1E-4,0.512266185815862,0.61,51.2266185815862
6.2E-4,0.506703374035436,0.62,50.6703374035436
6.3E-4,0.501229934103348,0.63,50.1229934103348
6.4E-4,0.495851561239779,0.64,49.5851561239779
6.5E-4,0.490556227330044,0.65,49.0556227330044
6.6E-4,0.485345108443786,0.66,48.5345108443786
6.7E-4,0.480225347966284,0.67,48.0225347966284
6.8E-4,0.475173635386886,0.68,47.5173635386886
6.9E-4,0.470212612324108,0.69,47.0212612324108
7E-4,0.46532531693138,0.7,46.532531693138
7.1E-4,0.460511265139925,0.71,46.0511265139925
7.2E-4,0.455779241419111,0.72,45.5779241419111
7.3E-4,0.451112727840479,0.73,45.1112727840479
7.4E-4,0.446524342040998,0.74,44.6524342040998
7.5E-4,0.44200099021185,0.75,44.200099021185
7.6E-4,0.437548479876043,0.76,43.7548479876043
7.7E-4,0.433159488036943,0.77,43.3159488036943
7.8E-4,0.428837224138315,0.78,42.8837224138315
7.9E-4,0.424573679956257,0.79,42.4573679956257
8E-4,0.420381182312222,0.8,42.0381182312222
8.1E-4,0.416245276524068,0.81,41.6245276524068
8.2E-4,0.412175037474978,0.82,41.2175037474978
8.3E-4,0.408167998018157,0.83,40.8167998018157
8.4E-4,0.404208740945148,0.84,40.4208740945148
8.5E-4,0.400320516646447,0.85,40.0320516646447
8.6E-4,0.396475494025613,0.86,39.6475494025613
8.7E-4,0.392686934055364,0.87,39.2686934055364
8.8E-4,0.38896602784466,0.88,38.896602784466
8.9E-4,0.385278550307901,0.89,38.5278550307901
9E-4,0.381651860682057,0.9,38.1651860682057
9.1E-4,0.378080923297352,0.91,37.8080923297352
9.2E-4,0.374547347941083,0.92,37.4547347941083
9.3E-4,0.371071751999379,0.93,37.1071751999379
9.4E-4,0.367645479885024,0.94,36.7645479885024
9.5E-4,0.36425848850036,0.95,36.425848850036
9.6E-4,0.360924765779091,0.96,36.0924765779091
9.7E-4,0.357635620819165,0.97,35.7635620819165
9.8E-4,0.354383220706812,0.98,35.4383220706812
9.9E-4,0.351182540903585,0.99,35.1182540903585
0.001,0.348021309047248,1,34.8021309047248
0.00101,0.344897347914246,1.01,34.4897347914246
0.00102,0.341816964491625,1.02,34.1816964491625
0.00103,0.338780853619559,1.03,33.8780853619559
0.00104,0.335781995110401,1.04,33.5781995110401
0.00105,0.332813906777067,1.05,33.2813906777067
0.00106,0.329885357754226,1.06,32.9885357754226
0.00107,0.326999862603699,1.07,32.6999862603699
0.00108,0.324152068532108,1.08,32.4152068532108
0.00109,0.321328785172754,1.09,32.1328785172754
0.0011,0.318536092876309,1.1,31.8536092876309
0.00111,0.31578925691525,1.11,31.578925691525
0.00112,0.313090641348667,1.12,31.3090641348667
0.00113,0.310417851445151,1.13,31.0417851445151
0.00114,0.307760872797055,1.14,30.7760872797055
0.00115,0.305136029934941,1.15,30.5136029934941
0.00116,0.302558506737581,1.16,30.2558506737581
0.00117,0.300020733862536,1.17,30.0020733862536
0.00118,0.297495897551958,1.18,29.7495897551958
0.00119,0.294984568723824,1.19,29.4984568723824
0.0012,0.292508878485496,1.2,29.2508878485496
0.00121,0.290079169191794,1.21,29.0079169191794
0.00122,0.287688542164587,1.22,28.7688542164587
0.00123,0.285310672601979,1.23,28.5310672601979
0.00124,0.282941237320541,1.24,28.2941237320541
0.00125,0.280602177835713,1.25,28.0602177835713
0.00126,0.278301412563304,1.26,27.8301412563304
0.00127,0.276038135520192,1.27,27.6038135520192
0.00128,0.273799011060568,1.28,27.3799011060568
0.00129,0.271566769504025,1.29,27.1566769504025
0.0013,0.269352579239374,1.3,26.9352579239374
0.00131,0.267169935399686,1.31,26.7169935399686
0.00132,0.265015479372125,1.32,26.5015479372125
0.00133,0.262889993579882,1.33,26.2889993579882
0.00134,0.260785498839921,1.34,26.0785498839921
0.00135,0.258692763363588,1.35,25.8692763363588
0.00136,0.256624633978739,1.36,25.6624633978739
0.00137,0.254579294790949,1.37,25.4579294790949
0.00138,0.252558662554965,1.38,25.2558662554965
0.00139,0.250563504213452,1.39,25.0563504213452
0.0014,0.248582164099383,1.4,24.8582164099383
0.00141,0.246620761888647,1.41,24.6620761888647
0.00142,0.24467470888051,1.42,24.467470888051
0.00143,0.242754315865607,1.43,24.2754315865607
0.00144,0.24085567154949,1.44,24.085567154949
0.00145,0.238977634305859,1.45,23.8977634305859
0.00146,0.23711885047276,1.46,23.711885047276
0.00147,0.235277837818451,1.47,23.5277837818451
0.00148,0.233452727283811,1.48,23.3452727283811
0.00149,0.231639477963332,1.49,23.1639477963332
0.0015,0.229846046885115,1.5,22.9846046885115
0.00151,0.228069717911884,1.51,22.8069717911884
0.00152,0.226315906743097,1.52,22.6315906743097
0.00153,0.224583320334052,1.53,22.4583320334052
0.00154,0.222868886251464,1.54,22.2868886251464
0.00155,0.221174559904313,1.55,22.1174559904313
0.00156,0.219495237396426,1.56,21.9495237396426
0.00157,0.21782569377072,1.57,21.782569377072
0.00158,0.216165997577433,1.58,21.6165997577433
0.00159,0.214516665607336,1.59,21.4516665607336
0.0016,0.212886336988745,1.6,21.2886336988745
0.00161,0.211276030726914,1.61,21.1276030726914
0.00162,0.209686561488224,1.62,20.9686561488224
0.00163,0.208122168043802,1.63,20.8122168043802
0.00164,0.20658068871123,1.64,20.658068871123
0.00165,0.205058354631545,1.65,20.5058354631545
0.00166,0.203545776688375,1.66,20.3545776688375
0.00167,0.202031852551082,1.67,20.2031852551082
0.00168,0.200522280617135,1.68,20.0522280617135
0.00169,0.199015065299494,1.69,19.9015065299494
0.0017,0.197521611316135,1.7,19.7521611316135
0.00171,0.196050053006378,1.71,19.6050053006378
0.00172,0.194597372035627,1.72,19.4597372035627
0.00173,0.193179256464542,1.73,19.3179256464542
